## Regular expressions master list created from public Exploit Kit data.
## WARNING!!!! Do not edit this file, use CustomRegexes.txt for your own regexes instead.
## Last updated: 2017-10-17

URI	Cerber_ransom_note	\.top\/[A-Z0-9]{4}(\-[A-Z0-9]{4}){4}\?iframe&_=[0-9]{13}$
URI	Chthonic_C2	pationare\.bit\/	http://www.malware-traffic-analysis.net/2016/12/27/index.html
URI	Disdain_EK	^http:\/\/(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)(\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)){3}\/[a-zA-Z0-9]{24}\/[a-zA-Z0-9]{12}\.php(\?ids=[a-zA-Z0-9]{8})?$	http://blog.trendmicro.com/trendlabs-security-intelligence/new-disdain-exploit-kit-detected-wild/
URI	Drive-by_Mining	coin-?hive|crypto-loot\.com	https://blog.malwarebytes.com/threat-analysis/2017/09/drive-by-mining-and-ads-the-wild-wild-west/
URI	Magnigate	\/(([0-9]{5,8}|0)(\$|%[0-9][A-Z]|&)){13,14}$	https://blog.malwarebytes.com/cybercrime/2017/08/enemy-at-the-gates-reviewing-the-magnitude-exploit-kit-redirection-chain/
URI	Magnitude_EK	^http:\/\/([a-z0-9]{3,30}\.){2}[a-z]{3,30}\/([0-9]{19}&[0-9]{7}|[a-z0-9]{32})$	http://www.malware-traffic-analysis.net/2017/08/04/index.html
URI	RIG_EK	(http(|s):\/\/|^)(?!www)([^.](([a-z0-9\-]{1,35}\.){2}[a-z\.]{2,15})|\b(?:\d{1,3}\.){3}\d{1,3}\b)\/(\?|)([A-Za-z0-9]{3,20}(=|==|)&[a-z]{2,15}=){1,2}[a-zA-Z0-9_&=-]{100}	http://www.malware-traffic-analysis.net/2017/08/01/index.html
URI	Rulan_Campaign	\.ru\/[a-z]{3}$	https://www.malwarebytes.com/pdf/white-papers/CybercrimeTacticsAndTechniques-Q2-2017.pdf
URI	Seamless_gate	^http:\/\/(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)(\.(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)){3}\/test[0-9]\.php$	https://umbrella.cisco.com/blog/2017/03/29/seamless-campaign-delivers-ramnit-via-rig-ek/
URI	Terror_EK	^https?:\/\/\w{5,10}\.\w{5,15}-\w{5,15}\.\w{3,10}\/\w{3,15}(_|-)+[a-zA-Z0-9]{3,25}\/((?=.*[0-9])\w{5,25}\.php$|\w{3,25}\.php\?\w{3,25}=[0-9]{10}$|\w{5,20}\/(?=.*[0-9])\w{5,20}\.(html|swf)$)	http://malware-traffic-analysis.net/2017/10/17/index.html
SourceCode	Drive-by_Mining	\/lib\/(coinhive|miner).min.js	https://blog.malwarebytes.com/threat-analysis/2017/09/drive-by-mining-and-ads-the-wild-wild-west/
